Restaurant Name,Aggregate rating,Votes,correl,
Tibet Kitchen,3.5,515,,
Bamboo Shoots,3.9,515,,
Percussion,3.7,514,,
Truth Coffee,4.4,514,,
Tanto Pizzeria,3.8,513,,
Biryani Blues,4,510,,
House of Commons,4,510,,
Berco's,3.8,508,,
Crazy Noodles,3.6,507,,
Teddy Boy,3.6,507,,
Red Lobster,3.2,506,,
736 A.D.,4.1,506,,
Leman K?_lt?_r,3.7,506,,
Barbeque Nation,4.4,505,,
La Bodega,3.6,505,,
Najmat Lahore Restaurant,4.2,504,,
Khan Chacha,3.4,504,,
Social on Main,4,504,,
Au Bon Pain,3.7,503,,
Jaco's Bayfront Bar and Grille,3.9,502,,
Tuscan Oven,4.1,502,,
Midnight Chef,3.4,502,,
Cafe Terazza,3.9,502,,
Rajasthali,2.9,501,,
Tourist Janpath,4.1,501,,
Applebee's,3.7,500,,
Sagar Ratna,3.4,499,,
Cafe Del Sol Botanico,4.4,499,,
The Great Kabab Factory,3.5,498,,
Cool Basil,4.1,496,,
Khaaja Chowk,3.6,496,,
Nafees Restaurant,4,496,,
China Garden,3.9,496,,
Moet's Sizzlers,3,496,,
Artusi Ristorante e Bar,4.1,496,,
Naivedyam,3.8,495,,
The Indian Kaffe Express,3.8,495,,
Saffron Mantra,4.4,494,,
Bell Pepperz,3.9,492,,
{Niche} - Cafe & Bar,4.1,492,,
Instapizza,3.8,492,,
Wow! Momo,3.4,491,,
Kennedy's,4.1,491,,
7 Barrel Brew Pub,3.9,490,,
Cafe Le Rue @ The Landings,4.6,489,,
Chungwa,3.3,489,,
New York Slice,3.7,489,,
Circus,4,489,,
Mad Mark's Creamery & Good Eats,4.2,488,,
The Hamburg Inn No. 2 Inc.,4.5,488,,
Salsa Mexican Grill,4.3,488,,
Brick 29,4.4,487,,
Coconuts Fish Cafe,4.5,487,,
Chaayos,3.9,487,,
Not Just Paranthas,3.7,487,,
Blue Water,4.2,487,,
Om Sweets & Snacks,3.5,486,,
A & A Pagliai's Pizza,4.3,485,,
Monkeypod Kitchen by Merriman,4.2,485,,
Anand Restaurant,3.6,485,,
Thok (The House of Kakori),3.4,485,,
Mirch Masala MM Cafe,3.7,484,,
Amalfi,3.9,484,,
Purani Dilli's Al Karam Kebab House,3.4,483,,
Bloomsbury's Boutique Cafe and Artisan Bakery,4.2,482,,
Dunkin' Donuts,3.7,481,,
Jack 'n' Chill,3.6,480,,
Hemingway's Island Grill,3.5,479,,
Falafel Lovers,4.3,479,,
Ingleside Village Pizza,4.9,478,,
Dhaba at Atta,3.8,477,,
Tursi's Latin King,4.1,476,,
Depaul's,3.7,475,,
Tantra Asian Bistro,4.9,474,,
Dukes Pastry Shop,4.2,474,,
Naturals Ice Cream,4.7,474,,
Shake Shack,4.1,473,,
Haldiram's,3.8,472,,
Pizza Di Rocco,4.4,471,,
The Grills King,3.8,468,,
Jim Shaw's Seafood Grill & Bar,4.6,467,,
Smoke On Water,4.1,467,,
Willoughby & Co.,4.4,466,,
The National,4.1,465,,
La Dolce Vita Ristorante,4.1,464,,
Bharawan Da Dhaba,3.5,461,,
World In A Box,3.6,461,,
Angels in my Kitchen,3.8,460,,
RoadRomeo,4,460,,
Rajasthan Al Malaki,4.8,459,,
BTW,3.7,459,,
Guevarra's,4.2,458,,
Burger King,3.2,458,,
Maa Tara,3.6,458,,
Carl's Jr.,3.8,458,,
Lucky Cat Coffee & Kitchen,4.3,458,,
Invitation,3.6,457,,
Themis Barbecue House,3.8,457,,
