unique ,u1,u2,u3,u4,,v1,v2,v3,v4,sum,,number of restaurant ,percentage 
,Spanish, Tapas,,,,,,,,,,,
,Hawaiian,,,,,,,,,,,,
,American, Sandwich, Salad,,,,,,,,,,
,Irish,,,,,,,,,,,,
,New American, Tapas,,,,,,,,,,,
,Brazilian, Steak,,,,,,,,,,,
,Caribbean,,,,,,,,,,,,
,Italian,,,,,,,,,,,,
,Asian, Thai,,,,,,,,,,,
,Asian, Latin American, Vegetarian,,,,,,,,,,
,American,,,,,,,,,,,,
,German,,,,,,,,,,,,
,American, Sandwich, Tea,,,,,,,,,,
,American, BBQ, Sandwich,,,,,,,,,,
,Cajun,,,,,,,,,,,,
,Southern, Cajun, Soul Food,,,,,,,,,,
,Mediterranean, Turkish,,,,,,,,,,,
,American, Breakfast, Vegetarian,,,,,,,,,,
,,,,,,,,,,,,,
,Pub Food,,,,,,,,,,,,
,Mediterranean, Seafood,,,,,,,,,,,
,Modern Australian,,,,,,,,,,,,
,Cafe, Coffee and Tea, Sandwich,,,,,,,,,,
,Mexican, Southwestern, Tex-Mex,,,,,,,,,,
,Burger, Bar Food, Steak,,,,,,,,,,
,Italian, Pizza, Sandwich,,,,,,,,,,
,Asian, Vietnamese,,,,,,,,,,,
,Italian, Pizza, Seafood,,,,,,,,,,
,Tapas,,,,,,,,,,,,
,Burger, Bar Food,,,,,,,,,,,
,Latin American, Mexican, Southwestern,,,,,,,,,,
,Seafood, Sushi,,,,,,,,,,,
,European, International, Tapas,,,,,,,,,,
,Japanese, Sushi,,,,,,,,,,,
,American, Seafood, Sushi,,,,,,,,,,
,Italian, Mediterranean, Pizza,,,,,,,,,,
,Seafood,,,,,,,,,,,,
,Caribbean, Seafood, Steak,,,,,,,,,,
,Breakfast, Burger,,,,,,,,,,,
,Burger, Sandwich, Seafood,,,,,,,,,,
,Caribbean, Seafood,,,,,,,,,,,
,Greek,,,,,,,,,,,,
,Sandwich, Seafood, Cajun,,,,,,,,,,
,Breakfast, Coffee and Tea, Modern Australian,,,,,,,,,,
,Burger, Fast Food,,,,,,,,,,,
,American, BBQ, Steak,,,,,,,,,,
,Asian, Thai,,,,,,,,,,,
,Pizza, Bar Food,,,,,,,,,,,
,Italian, Pizza, Sandwich,,,,,,,,,,
,American, Breakfast,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Coffee and Tea, Sandwich,,,,,,,,,,,
,Pizza, Sandwich,,,,,,,,,,,
,American, Greek,,,,,,,,,,,
,Burger, Pizza, Sandwich,,,,,,,,,,
,American, Pizza,,,,,,,,,,,
,American, Seafood, Steak,,,,,,,,,,
,Mexican,,,,,,,,,,,,
,Asian, Sushi, Vegetarian,,,,,,,,,,
,Indian, International, Vegetarian,,,,,,,,,,
,Desserts, Thai,,,,,,,,,,,
,New American,,,,,,,,,,,,
,Indian, Persian,,,,,,,,,,,
,Mexican,,,,,,,,,,,,
,American, BBQ, Burger,,,,,,,,,,
,Seafood,,,,,,,,,,,,
,Seafood,,,,,,,,,,,,
,American, Pizza, Bar Food,,,,,,,,,,
,,,,,,,,,,,,,
,Seafood,,,,,,,,,,,,
,American, Hawaiian,,,,,,,,,,,
,Burger,,,,,,,,,,,,
,Japanese, Seafood, Sushi,,,,,,,,,,
,Asian,,,,,,,,,,,,
,Asian, Breakfast, Hawaiian,,,,,,,,,,
,Breakfast, Burger,,,,,,,,,,,
,Hawaiian, Seafood, Steak,,,,,,,,,,
,Hawaiian, Seafood, Steak,,,,,,,,,,
,Hawaiian, Seafood,,,,,,,,,,,
,Japanese,,,,,,,,,,,,
,American, Asian, Burger,,,,,,,,,,
,American,,,,,,,,,,,,
,Hawaiian, Seafood, Steak,,,,,,,,,,
,Breakfast,,,,,,,,,,,,
,Asian, European, Seafood,,,,,,,,,,
,American, Breakfast, Hawaiian,,,,,,,,,,
,Southern,,,,,,,,,,,,
,Burger,,,,,,,,,,,,
,Desserts, Sandwich, Ice Cream,,,,,,,,,,
,American, Southern,,,,,,,,,,,
,International, Mediterranean, Sandwich,,,,,,,,,,
,American, Bar Food, Sandwich,,,,,,,,,,
,American, Seafood, Steak,,,,,,,,,,
,American, Breakfast,,,,,,,,,,,
,American, Bar Food,,,,,,,,,,,
,Breakfast, Vegetarian,,,,,,,,,,,
,American, Breakfast,,,,,,,,,,,
,Breakfast, Cajun,,,,,,,,,,,
,Breakfast, Diner, Sandwich,,,,,,,,,,
,Coffee and Tea, Desserts,,,,,,,,,,,
,Pizza, Seafood, Steak,,,,,,,,,,
,Cafe, Sandwich, Southern,,,,,,,,,,
,American, Seafood, Southern,,,,,,,,,,
,American,,,,,,,,,,,,
,Seafood,,,,,,,,,,,,
,,,,,,,,,,,,,
,Chinese, Continental, Singaporean,,,,,,,,,,
,American, Steak,,,,,,,,,,,
,French, Mediterranean, European,,,,,,,,,,
,American,,,,,,,,,,,,
,French,,,,,,,,,,,,
,French,,,,,,,,,,,,
,Bakery,,,,,,,,,,,,
,Italian,,,,,,,,,,,,
,Italian, French, Bakery, Cafe,,,,,,,,,
,American, Japanese, Singaporean,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Singaporean, Chinese, Seafood, Malay, Indian,,,,,,,,
,Asian, Continental, Seafood,,,,,,,,,,
,Chinese, Seafood, Cantonese, Dim Sum,,,,,,,,,
,Singaporean, Australian, German,,,,,,,,,,
,Western, Fusion, Fast Food,,,,,,,,,,
,American, Mexican,,,,,,,,,,,
,American, Bakery, European, Burger, Fusion,,,,,,,,
,Finger Food,,,,,,,,,,,,
,Cafe, Spanish, Turkish, Greek,,,,,,,,,
,Burger, Seafood, Steak,,,,,,,,,,
,American, Pizza, Bar Food,,,,,,,,,,
,Asian, Vegetarian, Vietnamese,,,,,,,,,,
,BBQ,,,,,,,,,,,,
,Japanese, Sushi,,,,,,,,,,,
,Asian, Chinese,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Pizza,,,,,,,,,,,,
,Burger,,,,,,,,,,,,
,American, Desserts, Diner,,,,,,,,,,
,American,,,,,,,,,,,,
,American, Fast Food,,,,,,,,,,,
,American, Seafood, Steak,,,,,,,,,,
,Mexican,,,,,,,,,,,,
,Caribbean, Mexican, Cajun,,,,,,,,,,
,Japanese, Steak, Sushi,,,,,,,,,,
,Asian, Thai, Vegetarian,,,,,,,,,,
,Pizza,,,,,,,,,,,,
,Italian,,,,,,,,,,,,
,American, Seafood, Steak,,,,,,,,,,
,BBQ, Caribbean, Seafood,,,,,,,,,,
,Latin American, Mexican, Southwestern,,,,,,,,,,
,American, Italian, Seafood,,,,,,,,,,
,Spanish, Tapas,,,,,,,,,,,
